Eloquence Software Synthesizer Voice profile,,,,
Unique Identifier,Aliases,Range,Default,Definition
,eng-PCCursor.SynthLangString,text,British English,
,fra-Global.DisplayName,text,Global,
,fra-Global.Rate,"range(40,150)",57,
,fra-Global.Pitch,"range(1,100)",65,
,fra-Global.Volume,"range(0,100)",100,
,fra-Global.Punctuation,"range(0,3)",2,
,fra-Global.SpellRateDelta,Integer,-20,
,fra-Global.UpperCasePitchDelta,Integer,20,
,fra-Global.Parent,text,None,
,fra-Global.VoiceName,text,Reed,
,fra-Global.SynthLangString,text,French,
,fra-JAWSCursor.DisplayName,text,JAWS Cursor,
,fra-JAWSCursor.Rate,"range(40,150)",57,
,fra-JAWSCursor.Pitch,"range(1,100)",58,
,fra-JAWSCursor.Volume,"range(0,100)",100,
,fra-JAWSCursor.Punctuation,"range(0,3)",2,
,fra-JAWSCursor.SpellRateDelta,Integer,-20,
,fra-JAWSCursor.UpperCasePitchDelta,Integer,20,
,fra-JAWSCursor.Parent,text,Global,
,fra-JAWSCursor.VoiceName,text,Glen,
,fra-JAWSCursor.SynthLangString,text,French,
,fra-Keyboard.DisplayName,text,Keyboard,
,fra-Keyboard.Rate,"range(40,150)",57,
,fra-Keyboard.Pitch,"range(1,100)",65,
,fra-Keyboard.Volume,"range(0,100)",100,
,fra-Keyboard.Punctuation,"range(0,3)",2,
,fra-Keyboard.SpellRateDelta,Integer,-20,
,fra-Keyboard.UpperCasePitchDelta,Integer,20,
,fra-Keyboard.Parent,text,Global,
,fra-Keyboard.VoiceName,text,Reed,
,fra-Keyboard.SynthLangString,text,French,
,fra-MenuAndDialog.DisplayName,text,Menu and Dialog,
,fra-MenuAndDialog.Rate,"range(40,150)",57,
,fra-MenuAndDialog.Pitch,"range(1,100)",65,
,fra-MenuAndDialog.Volume,"range(0,100)",100,
,fra-MenuAndDialog.Punctuation,"range(0,3)",2,
,fra-MenuAndDialog.SpellRateDelta,Integer,-20,
,fra-MenuAndDialog.UpperCasePitchDelta,Integer,20,
,fra-MenuAndDialog.Parent,text,Global,
,fra-MenuAndDialog.VoiceName,text,Reed,
,fra-MenuAndDialog.SynthLangString,text,French,
,fra-Message.DisplayName,text,Message,
,fra-Message.Rate,"range(40,150)",57,
,fra-Message.Pitch,"range(1,100)",60,
,fra-Message.Volume,"range(0,100)",100,
,fra-Message.Punctuation,"range(0,3)",0,
,fra-Message.SpellRateDelta,Integer,-20,
,fra-Message.UpperCasePitchDelta,Integer,20,
,fra-Message.Parent,text,Global,
