Eloquence Software Synthesizer Voice profile,,,,
Unique Identifier,Aliases,Range,Default,Definition
,esn-PCCursor.SpellRateDelta,Integer,-20,
,esn-PCCursor.UpperCasePitchDelta,Integer,20,
,esn-PCCursor.Parent,text,Global,
,esn-PCCursor.VoiceName,text,Reed,
,esn-PCCursor.SynthLangString,text,Castilian Spanish,
,fin-Global.DisplayName,text,Global,
,fin-Global.Rate,"range(40,150)",57,
,fin-Global.Pitch,"range(1,100)",65,
,fin-Global.Volume,"range(0,100)",100,
,fin-Global.Punctuation,"range(0,3)",2,
,fin-Global.SpellRateDelta,Integer,-20,
,fin-Global.UpperCasePitchDelta,Integer,20,
,fin-Global.Parent,text,None,
,fin-Global.VoiceName,text,Reed,
,fin-Global.SynthLangString,text,Finnish,
,fin-JAWSCursor.DisplayName,text,JAWS Cursor,
,fin-JAWSCursor.Rate,"range(40,150)",57,
,fin-JAWSCursor.Pitch,"range(1,100)",58,
,fin-JAWSCursor.Volume,"range(0,100)",100,
,fin-JAWSCursor.Punctuation,"range(0,3)",2,
,fin-JAWSCursor.SpellRateDelta,Integer,-20,
,fin-JAWSCursor.UpperCasePitchDelta,Integer,20,
,fin-JAWSCursor.Parent,text,Global,
,fin-JAWSCursor.VoiceName,text,Glen,
,fin-JAWSCursor.SynthLangString,text,Finnish,
,fin-Keyboard.DisplayName,text,Keyboard,
,fin-Keyboard.Rate,"range(40,150)",57,
,fin-Keyboard.Pitch,"range(1,100)",65,
,fin-Keyboard.Volume,"range(0,100)",100,
,fin-Keyboard.Punctuation,"range(0,3)",2,
,fin-Keyboard.SpellRateDelta,Integer,-20,
,fin-Keyboard.UpperCasePitchDelta,Integer,20,
,fin-Keyboard.Parent,text,Global,
,fin-Keyboard.VoiceName,text,Reed,
,fin-Keyboard.SynthLangString,text,Finnish,
,fin-MenuAndDialog.DisplayName,text,Menu and Dialog,
,fin-MenuAndDialog.Rate,"range(40,150)",57,
,fin-MenuAndDialog.Pitch,"range(1,100)",65,
,fin-MenuAndDialog.Volume,"range(0,100)",100,
,fin-MenuAndDialog.Punctuation,"range(0,3)",2,
,fin-MenuAndDialog.SpellRateDelta,Integer,-20,
,fin-MenuAndDialog.UpperCasePitchDelta,Integer,20,
,fin-MenuAndDialog.Parent,text,Global,
,fin-MenuAndDialog.VoiceName,text,Reed,
,fin-MenuAndDialog.SynthLangString,text,Finnish,
,fin-Message.DisplayName,text,Message,
,fin-Message.Rate,"range(40,150)",57,
,fin-Message.Pitch,"range(1,100)",60,
,fin-Message.Volume,"range(0,100)",100,
,fin-Message.Punctuation,"range(0,3)",0,
,fin-Message.SpellRateDelta,Integer,-20,
,fin-Message.UpperCasePitchDelta,Integer,20,
,fin-Message.Parent,text,Global,
,fin-Message.VoiceName,text,Reed,
,fin-Message.SynthLangString,text,Finnish,
,fin-PCCursor.DisplayName,text,PC Cursor,
,fin-PCCursor.Rate,"range(40,150)",57,
,fin-PCCursor.Pitch,"range(1,100)",65,
,fin-PCCursor.Volume,"range(0,100)",100,
,fin-PCCursor.Punctuation,"range(0,3)",2,
,fin-PCCursor.SpellRateDelta,Integer,-20,
,fin-PCCursor.UpperCasePitchDelta,Integer,20,
,fin-PCCursor.Parent,text,Global,
,fin-PCCursor.VoiceName,text,Reed,
,fin-PCCursor.SynthLangString,text,Finnish,
,enu-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,Section for Voice Aliases note use * to keep same voice but just change pitch or rate
,enu-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,enu-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,enu-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,enu-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,enu-Voice Aliases.BoldVoice,text,Rocko,
,enu-Voice Aliases.UnderlineVoice,text,Shelly,
,enu-Voice Aliases.ItalicVoice,text,Grandpa,
,enu-Voice Aliases.StrikeoutVoice,text,Sandy,
,enu-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,enu-Voice Aliases.GraphicVoice,text,Grandma,
,enu-Voice Aliases.HighlightVoice,text,Bobby,
,enu-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,enu-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,enu-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,enu-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,enu-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,enu-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,enu-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,enu-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,enu-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,enu-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,enu-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,enu-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,enu-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,enu-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,enu-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,enu-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,enu-Voice Aliases.LinkVoice,text,Shelly,
,enu-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,enu-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,enu-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,enu-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,enu-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,enu-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,eng-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,eng-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,eng-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,eng-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,eng-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,eng-Voice Aliases.BoldVoice,text,Rocko,
,eng-Voice Aliases.UnderlineVoice,text,Shelly,
,eng-Voice Aliases.ItalicVoice,text,Grandpa,
,eng-Voice Aliases.StrikeoutVoice,text,Sandy,
,eng-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,eng-Voice Aliases.GraphicVoice,text,Grandma,
,eng-Voice Aliases.HighlightVoice,text,Bobby,
,eng-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,eng-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,eng-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,eng-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,eng-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,eng-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,eng-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,eng-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,eng-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,eng-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,eng-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,eng-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,eng-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,eng-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,eng-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,eng-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,eng-Voice Aliases.LinkVoice,text,Shelly,
,eng-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,eng-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,eng-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,eng-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,eng-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,eng-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,fra-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,fra-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,fra-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,fra-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,fra-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,fra-Voice Aliases.BoldVoice,text,Rocko,
,fra-Voice Aliases.UnderlineVoice,text,Shelly,
,fra-Voice Aliases.ItalicVoice,text,Grandpa,
,fra-Voice Aliases.StrikeoutVoice,text,Sandy,
,fra-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,fra-Voice Aliases.GraphicVoice,text,Grandma,
,fra-Voice Aliases.HighlightVoice,text,Bobby,
,fra-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,fra-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,fra-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,fra-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,fra-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,fra-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,fra-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,fra-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,fra-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,fra-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,fra-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,fra-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,fra-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,fra-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,fra-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,fra-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,fra-Voice Aliases.LinkVoice,text,Shelly,
,fra-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,fra-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,fra-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,fra-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,fra-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,fra-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,frc-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,frc-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,frc-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,frc-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,frc-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,frc-Voice Aliases.BoldVoice,text,Rocko,
,frc-Voice Aliases.UnderlineVoice,text,Shelly,
,frc-Voice Aliases.ItalicVoice,text,Grandpa,
,frc-Voice Aliases.StrikeoutVoice,text,Sandy,
,frc-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,frc-Voice Aliases.GraphicVoice,text,Grandma,
,frc-Voice Aliases.HighlightVoice,text,Bobby,
,frc-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,frc-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,frc-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,frc-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,frc-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,frc-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,frc-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,frc-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,frc-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,frc-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,frc-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,frc-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,frc-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,frc-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,frc-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,frc-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,frc-Voice Aliases.LinkVoice,text,Shelly,
,frc-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,frc-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,frc-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,frc-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,frc-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,frc-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,ita-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,ita-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,ita-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,ita-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,ita-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,ita-Voice Aliases.BoldVoice,text,Rocko,
,ita-Voice Aliases.UnderlineVoice,text,Shelly,
,ita-Voice Aliases.ItalicVoice,text,Grandpa,
,ita-Voice Aliases.StrikeoutVoice,text,Sandy,
,ita-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,ita-Voice Aliases.GraphicVoice,text,Grandma,
,ita-Voice Aliases.HighlightVoice,text,Bobby,
,ita-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,ita-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,ita-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,ita-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,ita-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,ita-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,ita-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,ita-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,ita-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,ita-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,ita-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,ita-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,ita-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,ita-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,ita-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,ita-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,ita-Voice Aliases.LinkVoice,text,Shelly,
,ita-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,ita-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,ita-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,ita-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,ita-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,ita-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,deu-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,deu-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,deu-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,deu-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,deu-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,deu-Voice Aliases.BoldVoice,text,Rocko,
,deu-Voice Aliases.UnderlineVoice,text,Shelly,
,deu-Voice Aliases.ItalicVoice,text,Grandpa,
,deu-Voice Aliases.StrikeoutVoice,text,Sandy,
,deu-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,deu-Voice Aliases.GraphicVoice,text,Grandma,
,deu-Voice Aliases.HighlightVoice,text,Bobby,
,deu-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,deu-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,deu-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,deu-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,deu-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,deu-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,deu-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,deu-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,deu-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,deu-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,deu-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,deu-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,deu-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,deu-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,deu-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,deu-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,deu-Voice Aliases.LinkVoice,text,Shelly,
,deu-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,deu-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,deu-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,deu-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,deu-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,deu-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,esm-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,esm-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,esm-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,esm-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,esm-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,esm-Voice Aliases.BoldVoice,text,Rocko,
,esm-Voice Aliases.UnderlineVoice,text,Shelly,
,esm-Voice Aliases.ItalicVoice,text,Grandpa,
,esm-Voice Aliases.StrikeoutVoice,text,Sandy,
,esm-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,esm-Voice Aliases.GraphicVoice,text,Grandma,
,esm-Voice Aliases.HighlightVoice,text,Bobby,
,esm-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,esm-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,esm-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,esm-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,esm-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,esm-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,esm-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,esm-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,esm-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,esm-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,esm-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,esm-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,esm-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,esm-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,esm-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,esm-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,esm-Voice Aliases.LinkVoice,text,Shelly,
,esm-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,esm-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,esm-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,esm-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,esm-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,esm-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,esn-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,esn-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,esn-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,esn-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,esn-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,esn-Voice Aliases.BoldVoice,text,Rocko,
,esn-Voice Aliases.UnderlineVoice,text,Shelly,
,esn-Voice Aliases.ItalicVoice,text,Grandpa,
,esn-Voice Aliases.StrikeoutVoice,text,Sandy,
,esn-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,esn-Voice Aliases.GraphicVoice,text,Grandma,
,esn-Voice Aliases.HighlightVoice,text,Bobby,
,esn-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,esn-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,esn-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,esn-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,esn-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,esn-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,esn-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,esn-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,esn-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,esn-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,esn-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,esn-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,esn-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,esn-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,esn-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,esn-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,esn-Voice Aliases.LinkVoice,text,Shelly,
,esn-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,esn-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,esn-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,esn-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,esn-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,esn-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
,ptb-Voice Aliases.PCCursorVoice,text | percentage | precentage,Reed|0|0,note use * to keep same voice but just change pitch or rate
,ptb-Voice Aliases.MessageVoice,text | percentage | precentage,Glen|0|0,
,ptb-Voice Aliases.HeaderVoice,text | percentage | precentage,Reed|-20%|0,
,ptb-Voice Aliases.JAWSCursorVoice,text | percentage | precentage,Reed|-10%|0,
,ptb-Voice Aliases.NormalVoice,text | percentage | precentage,*|0|0,
,ptb-Voice Aliases.BoldVoice,text,Rocko,
,ptb-Voice Aliases.UnderlineVoice,text,Shelly,
,ptb-Voice Aliases.ItalicVoice,text,Grandpa,
,ptb-Voice Aliases.StrikeoutVoice,text,Sandy,
,ptb-Voice Aliases.DoubleStrikeoutVoice,text | percentage | precentage,Sandy|0|10%,
,ptb-Voice Aliases.GraphicVoice,text,Grandma,
,ptb-Voice Aliases.HighlightVoice,text,Bobby,
,ptb-Voice Aliases.HugeTextVoice,text | percentage | precentage,*|-20%|0,
,ptb-Voice Aliases.LargeTextVoice,text | percentage | precentage,*|-10%|0,
,ptb-Voice Aliases.SmallTextVoice,text | percentage | precentage,*|10%|0,
,ptb-Voice Aliases.TinyTextVoice,text | percentage | precentage,*|20%|0,
,ptb-Voice Aliases.SuperscriptVoice,text | percentage | precentage,*|40%|0,
,ptb-Voice Aliases.SubscriptVoice,text | percentage | precentage,*|-40%|0,
,ptb-Voice Aliases.ShadowVoice,text | percentage | precentage,*|0|0,
,ptb-Voice Aliases.EmbossVoice,text | percentage | precentage,*|0|0,
,ptb-Voice Aliases.EngraveVoice,text | percentage | precentage,*|0|0,
,ptb-Voice Aliases.OutlineVoice,text | percentage | precentage,*|0|0,
,ptb-Voice Aliases.HeadingLevel1Voice,text | percentage | precentage,Rocko|5%|0,
,ptb-Voice Aliases.HeadingLevel2Voice,text | percentage | precentage,Rocko|10%|0,
,ptb-Voice Aliases.HeadingLevel3Voice,text | percentage | precentage,Rocko|15%|0,
,ptb-Voice Aliases.HeadingLevel4Voice,text | percentage | precentage,Rocko|20%|0,
,ptb-Voice Aliases.HeadingLevel5Voice,text | percentage | precentage,Rocko|25%|0,
,ptb-Voice Aliases.HeadingLevel6Voice,text | percentage | precentage,Rocko|30%|0,
,ptb-Voice Aliases.LinkVoice,text,Shelly,
,ptb-Voice Aliases.SpellingVoice,text | percentage | precentage,*|0|-20%,
,ptb-Voice Aliases.QuotationVoice,text | percentage | precentage,Glen|10%|0,
,ptb-Voice Aliases.SingleCapVoice,text | percentage | precentage,*|20%|0,
,ptb-Voice Aliases.AllCapsVoice,text | percentage | precentage,*|20%|0,
,ptb-Voice Aliases.SmallCapsVoice,text | percentage | precentage,*|20%|0,
,ptb-Voice Aliases.OCRVoice,text | percentage | precentage,Rocko|-5%|-5%,
